model,r2,rmse,mae,time_s,fingerprint,split
AdaBoost,-0.2765756033907915,1.141548369676601,0.91974277445537,15.544923067092896,cdk_graphonly,kennard_stone
Random Forest,-0.04691708,1.0337777802172232,0.7705996036529541,233.0710487365723,cdk_graphonly,kennard_stone
Lasso Regression,0.058048844,1.2150367019353223,1.016083598136902,0.0750737190246582,estate,random
ElasticNet,0.1088106,1.1818441420651575,0.9867759346961976,0.1090574264526367,estate,random
Decision Tree,0.3007732893003582,1.046849410282822,0.7923052902434012,0.1764986515045166,estate,random
Bayesian Ridge,0.19086152,1.1261250909938008,0.911714255809784,0.0721387863159179,estate,random
PLS Regression,0.1880719389574603,1.128064632610405,0.9111463699604272,0.1002020835876464,estate,random
Ridge Regression,0.18859112,1.1277039140922085,0.9111595749855042,0.0469260215759277,estate,random
Gradient Boosting,0.3049570472611813,1.0437128483930669,0.8339952458609956,1.788865566253662,estate,random
XGBoost,0.3350727,1.0208508366751512,0.7812716364860535,12.076351165771484,estate,random
SVR (RBF),0.3430754,1.0146890288853383,0.7856855392456055,0.2913393974304199,estate,random
SVR (Linear),0.17280555,1.1386205226514083,0.9071556329727172,0.6034355163574219,estate,random
k-Nearest Neighbors,0.22173852,1.1044294776281902,0.8432889580726624,0.0268850326538085,estate,random
MLP Regressor,0.32613677,1.0276875083963706,0.7998055219650269,11.97415542602539,estate,random
AdaBoost,0.1798786093167257,1.1337421091614888,0.9401589615081066,0.641460657119751,estate,random
Random Forest,0.37451613,0.9901095580640342,0.765950620174408,22.27685594558716,estate,random
Lasso Regression,-0.05961919,1.3247976022559274,1.0930891036987305,0.059157371520996,estate,kennard_stone
ElasticNet,0.033332527,1.265357283546111,1.048509955406189,0.1054301261901855,estate,kennard_stone
Decision Tree,0.0516865668053765,1.253287103284137,0.9710205230456858,0.1780741214752197,estate,kennard_stone
Bayesian Ridge,0.120172024,1.2071840751218192,0.971474826335907,0.0569171905517578,estate,kennard_stone
PLS Regression,0.1238958335242867,1.2046267204459922,0.9656631194843368,0.1041254997253418,estate,kennard_stone
Ridge Regression,0.1235705,1.2048503839831832,0.965962827205658,0.04976487159729,estate,kennard_stone
Gradient Boosting,0.1911254060173425,1.15748458733975,0.9056873527442052,1.7344553470611572,estate,kennard_stone
XGBoost,0.117541015,1.208987727491818,0.9284273982048036,11.8467915058136,estate,kennard_stone
SVR (RBF),0.15958208,1.1798377036160883,0.9047181606292723,0.3103129863739013,estate,kennard_stone
SVR (Linear),0.10727829,1.2159974731306122,0.964560866355896,0.6033289432525635,estate,kennard_stone
k-Nearest Neighbors,0.08656317,1.230024808695503,0.9606740474700928,0.0276615619659423,estate,kennard_stone
MLP Regressor,0.22970635,1.129543032450824,0.8807659149169922,10.98254108428955,estate,kennard_stone
AdaBoost,0.1770824484128375,1.167488958779344,0.9526972031799472,0.7489931583404541,estate,kennard_stone
Random Forest,0.1520409,1.1851193004222045,0.908107340335846,22.555336713790894,estate,kennard_stone
Lasso Regression,0.04228896,1.2251590061144582,1.026719331741333,0.2871906757354736,atompairs2d,random
ElasticNet,0.09984177,1.1877762322633365,0.9941626787185668,0.5999205112457275,atompairs2d,random
Decision Tree,0.2674930275266193,1.0714726481428374,0.769125103561792,0.7791829109191895,atompairs2d,random
Bayesian Ridge,0.2944777,1.051551564855528,0.8379526734352112,0.4985733032226562,atompairs2d,random
PLS Regression,0.2853438347934593,1.0583365136764744,0.8372909093130836,0.3864626884460449,atompairs2d,random
Ridge Regression,0.2894987,1.0552555391247154,0.8332722783088684,0.0877017974853515,atompairs2d,random
